name,description,contact_info
Interior Design Organization (UW-Madison),IDO is a student community that focuses on professional development and networking skills that will propel its members into the profession of interior design prepared and confident.,"Address
Interior Design Organization, c/o Design Studies Dept
1300 Linden Drive
Madison, WI 53706
United States Address Interior Design Organization, c/o Design Studies Dept 1300 Linden Drive Madison, WI 53706 Madison, United States Contact Email
E: ido.uwmadison@gmail.com Contact Email E:"
InterMission Theatre,"Mission: United by our passion for storytelling, InterMission Theatre (IMT) empowers students to create performance art through interdisciplinary collaboration.  IMT is a Registered Student Organization on UW Madison’s Campus that produces original, experimental, and otherwise fully student-produced works to: 1) service all majors with an interest in performance art; 2) promote the student creative process.  Officer positions are available within the group to allow students to take more of a role in a show’s production that members both elect (Artistic Counselor, Production Manager, Human Resources Officer, Treasurer, Marketing/PR Coordinator) and apply for (Trustee).","Address Address Contact Email
E: intermissiontheatre@gmail.com Contact Email E: Phone Number
P: 920-290-1253 Phone Number P:"
International & Comparative Education Research Group,"ICERG is an organization that seeks to promote quality scholarship in the field of international and comparative education, to train future scholars, and to build relationships between faculty, graduate students and working professionals.","Address
1000 Bascom Mall
Madison, WI 53706
United States Address 1000 Bascom Mall Madison, WI 53706 Madison, United States Contact Email
E: atisaac@wisc.edu Contact Email E:"
International Society for Pharmaceutical Engineering (UW-Madison Chapter),"ISPE serves its members by leading scientific, technical and regulatory advancement throughout the entire pharmaceutical lifecycle. We promote interactions between students and industry professionals in the field of pharmaceutical engineering. We hope to introduce engineers to the reality of pharmaceuticals by hosting speakers and touring companies throughout the area.","Address Address Contact Email
E: wisco.ispe@gmail.com Contact Email E:"
International Student Gathering,,"Address
4817 Sheboygan Avenue
Apt. 302
Madison, WI 53705
美国 Address 4817 Sheboygan Avenue Apt. 302 Madison, WI 53705 Madison, 美国 Contact Email
E: qkuang5@wisc.edu Contact Email E: Phone Number
P: 6122965415 Phone Number P:"
International Students of Law Organization,"The International Students of Law Organization (ISLO) was founded in 2024. We have a diverse community of cultures, languages, and ethnicities. Being part of ISLO will expose you to different perspectives on law, open connections to professionals in our field, and provide also social activities to get to know Madison and the surrounding area.","Address Address Contact Email
E: islouwmadison@gmail.com Contact Email E:"
InterVarsity Undergrad (UW-Madison),"As a student-led interdenominational Christian organization on campus, our mission is to empower students to reach the campus. Throughout the semester we meet for worship, small group Bible studies, training, conferences, and service projects.","Address
333 E. Campus Mall #151
Madison, WI 53715
U.S. Address 333 E. Campus Mall #151 Madison, WI 53715 Madison, U.S. Contact Email
E: biundo@wisc.edu Contact Email E: Phone Number
P: 920-413-7144 Phone Number P:"
Interventional Radiology Interest Group,"The Interventional Radiology Interest Group holds noon talks, device exhibits, and an annual symposium featuring speakers from around the Midwest with the goal of introducing students to the newest independent medical specialty, Interventional Radiology.","Address
750 Highland Ave.
Madison, WI 53726
United States Address 750 Highland Ave. Madison, WI 53726 Madison, United States Contact Email
E: Tiv@wisc.edu Contact Email E: Phone Number
P: 715-305-9501 Phone Number P:"
Invent,"Invent is the center of collaboration and innovation at UW-Madison. Members with diverse skill sets are assigned a selected, proposed project. Creative students inspired by the fields of business, computer science, engineering, etc. are welcome to apply.  At Invent, we believe that innovation thrives when diverse minds come together, fueled by curiosity, creativity, and a shared passion for making a difference. Our mission? To ignite the spark of invention, empower our members, and transform ideas into impactful projects.  We invite project proposals from within the organization and beyond. Professors, industry experts, and students submit intriguing challenges, real-world problems, or groundbreaking ideas. Our members review the proposals, identify their interests, and form project teams. We dissect the proposals, extract core concepts, and envision solutions.  One of the most valuable aspects of Invent is the opportunity for students to challenge themselves academically by working on concrete projects that have real-world implications. Students also benefit from the mentorship and guidance of experienced professionals who provide constructive feedback and insights. By participating in Invent, students can expand their network, enhance their skills, and discover new possibilities for their future careers.  So, whether you’re an inspired entrepreneur, a coding wizard, a design maven, or a marketing genius, there’s a spot for you at Invent. Join us, and let’s turn ideas into reality.","Address
360 W Washington Ave, Metropolitan Apartments
Madison, WI 53703
United States Address 360 W Washington Ave, Metropolitan Apartments Madison, WI 53703 Madison, United States Contact Email
E: ahmadli@wisc.edu Contact Email E: Phone Number
P: 6085569094 x+1 Phone Number P: x+1"
Investment Banking Club,"The Investment Banking Club at the University of Wisconsin-Madison aims to establish the University as a source of talent and as a recruiting destination for premier investment banks that seek individuals who will become successful professionals. This select group of capable students possesses the simple common thread of an intense interest in the industry, intelligence, and unrelenting fortitude; we have come together as a team to achieve our goal. Numerous activities and exercises constitute the preparation that we undertake, they include: ","Address
975 University Ave.
Madison, WI 53703
USA Address 975 University Ave. Madison, WI 53703 Madison, USA Contact Email
E: wisconsinibc@gmail.com Contact Email E: Phone Number
P: 262-422-5690 Phone Number P:"
iQueery,"iQueery fosters community and solidarity for LGBTQIA+ students, professionals, and patrons in the world of libraries and beyond. We seek to equip our community to work in diverse library settings with diverse patron bases through education, advocacy work, volunteering, networking, and community building. We aim to support LGBTQIA+ students at the iSchool by fostering a strong sense of community, advocating for our community of LGBTQIA+ librarians and patrons, and supporting the safety and well-being of queer people at the iSchool. All students, regardless of sexual orientation and gender identity, who are interested in service to LGBTQIA+ patrons are welcome.","Address
600 N Park Street
Room 4217
Madison, WI 53706
United States Address 600 N Park Street Room 4217 Madison, WI 53706 Madison, United States Contact Email
E: iqueeryuwmad@gmail.com Contact Email E:"
Iris (Queer CDIS Syndicate),"Iris (Queer CDIS Syndicate) Iris is dedicated to creating a welcoming environment for queer students within the School of Computer, Data, and Information Sciences at UW-Madison. We aim to do this by organizing community building events and fostering connections between students in different CDIS disciplines. We are the only club that serves all queer students in CDIS.  We seek to raise awareness of the unique challenges faced by queer students in tech, including a history of industry oppression in the field and the underrepresentation, bias, and discrimination that is prevalent today. We want to promote representation, build meaningful connections, and celebrate the diversity and resilience of our community. We welcome all students, regardless of sexual orientation or gender identity, to join us in building a stronger, more supportive community within CDIS.  We organize a range of activities, including Pride-themed hackathons and coding workshops, to provide opportunities for skill development, networking, and engagement. Whether you're a queer student, an ally, or simply interested in supporting inclusivity within our school, we welcome you to join us in creating a more empowering and inclusive space for all students in the School of Computer, Data and Information Sciences.","Address
716 Langdon St Madison
Madison, WI 53703
United States Address 716 Langdon St Madison Madison, WI 53703 Madison, United States Contact Email
E: iris.uwmadison@gmail.com Contact Email E:"
Islamic STEM Association,"Are you a Muslim student, or a student interested in Islamic studies, that is pursuing a career in a STEM related field? Explore how the worlds of faith and spirituality collide with the Islamic STEM Association!  Our Mission: To create platforms to spark sustainable discussion and interest at the intersection between science and theology.  Our Vision: Empower students to achieve academic and professional excellence while also upholding their spiritual values. We aim to foster unity between the spiritual and professional realms.  Our Approach: Promote collaborative and inclusive learning environments that encourage the exchange of ideas between scientific and religious disciplines. Develop career development opportunities and connect students with Muslim professionals in STEM fields who share an understanding of Islamic values, supporting professional development and personal growth. Engage with local communities to demystify STEM fields, offer educational workshops, and highlight the compatibility of STEM pursuits with Islamic values.","Address Address Contact Email
E: islamic.stem@gmail.com Contact Email E: Phone Number
P: 262-613-8663 Phone Number P:"
"Issue, The","The Issue is the latest student-run publication to the UW-Madison campus. We are comprised of students from all majors and encourage any and everyone to join us. We want to be a reason to create. Our content covers arts, style, culture and anything else our members feel is important.","Address Address Contact Email
E: theissueuw@gmail.com Contact Email E:"
ISyE Connections,"ISyE Connections is a student-run organization dedicated to matching students interested in Industrial and Systems Engineering with a mentor that is an upperclassmen, graduate student, professor, or alumni who shares similar interests and aspirations. ISyE Connections aims to build a student's network and create an environment that fosters further opportunities for the student's career.","Address
1415 Engineering Dr
Madison, WI 53706
United States Address 1415 Engineering Dr Madison, WI 53706 Madison, United States Contact Email
E: connections@ie.wisc.edu Contact Email E:"
Italian Club - UW-Madison,"The club is welcome to anyone, regardless of if you are studying Italian or not. New ideas are always welcome: if you want to see a cartoon in Italian, if you want to know the beauties of Rome, Venice or Florence, if you will have a year of studies abroad, if you want to play RPGs in Italian, you just have to launch an idea! If you'd like to join, just come to any meeting or contact us!","Address
1220 Linden Drive
610 Van Hise Hall
Madison, WI 53706
United States Address 1220 Linden Drive 610 Van Hise Hall Madison, WI 53706 Madison, United States Contact Email
E: maschoville@wisc.edu Contact Email E: Phone Number
P: 608-262-5074 Phone Number P:"
Japanese Karate Club - UW Madison,"Welcome to the Japanese Karate Club page!  If you are interested in joining, please log onto DoSportsEasy and join our roster! We don't use WIN to track our membership.  We practice Shotokan Karate, the traditional form of Karate.  At practices, we learn kihon (techniques), kata (forms), and kumite (sparring).  Whether you are actively interested in competing, or simply want to work out, we would love to have you join our community!  Our practice schedule: For current practice hours and upcoming events, please visit our web site at https://mjks.madcitykarate.com  *Please follow all COVID guidelines while attending events and in-person practice All practices will continue to be broadcast virtually on Jitsi this semester if you aren't comfortable coming in person! About us The Japanese Karate Club practices the traditional Shotokan karate style. Instruction is given from the most basic level and increases in difficulty as the students learn the techniques required to control their body and mind. All three traditional components of karate training (kata, kihon, and kumite) are taught at the dojo. You do not need to have prior experience in martial arts - our instructors teach you everything starting from white belt. While the instruction centers on karate as a martial art, portions of the training involve self-defense applications and karate as a competitive sport. Our club regularly sends teams of men and women to regional and national collegiate competitions. Our Affiliation The Japanese Karate Club is affiliated nationally with the American Amateur Karate Federation, and internationally with the Japan Karate Association International and the World Traditional Karate Federation. All ranking is done under their auspices. Club members regularly attend clinics at the main dojos of the Great Lakes and North Central Regions of the AAKF. Participation Participation is open to all students, faculty, and staff. Members are not required to come to all practices, however, average attendance of once or twice a week is usually necessary for consistent advancement in rank. Most members try to attend as frequently as their class schedule permits. Fun fact! Our club has been a University of Wisconsin-Madison sports club since 1976 and the current head instructor is Vassil Peytchev, a Sandan (third degree black belt). Instruction is also performed by other regionally qualified first, second, and third degree black belt instructors.  See you at practice! ","Address Address Contact Email
E: mjkc-info@aakfgreatlakes.com Contact Email E:"
Japanese Student Association,"The Japanese Student Association strives to provide a safe space for community members of Japanese descent and a place to learn more about Japanese culture, meet new people, and develop professional skills for all who are interested. JSA provides a community for those of Japanese descent by creating an inclusive space that celebrates shared experiences and Japanese heritage. JSA, however, is open to all students at UW-Madison with an appreciation for Japanese culture or a desire to learn more. Check out our website here! JSA celebrates Japanese culture and supports its members through hosting cultural, language, professional development, and social justice events. Two of our main events have been a haunted house in the fall semester in collaboration with other Asian student organizations and the Spring Festival in the spring semester. This organization is open to all UW-Madison students. If you would like to be added to our emailing list please contact us via email (jsawisconsinmadison@gmail.com) or Instagram (jsamadison)!","Address
1220 Linden Dr.
Van Hise Hall #1260
Madison, WI 53706
United States Address 1220 Linden Dr. Van Hise Hall #1260 Madison, WI 53706 Madison, United States Contact Email
E: jsawisconsinmadison@gmail.com Contact Email E: Phone Number
P: 8052725307 Phone Number P:"
Jewish Experience of Madison,,"Address
544 State St
Madison, WI 53703
United States Address 544 State St Madison, WI 53703 Madison, United States Contact Email
E: cjkeith@wisc.edu Contact Email E: Phone Number
P: 608-574-1645 Phone Number P:"
Jewish Law Students Association,"The goal of the Jewish Law Students Association is to maintain a Jewish presence at the University of Wisconsin Law School socially, culturally, and religiously. Our membership is open to all law students.","Address
975 Bascom Mall
Madison, WI 53706
USA Address 975 Bascom Mall Madison, WI 53706 Madison, USA"
Jiujitsu Club,"ATTENTION! DO NOT REQUEST TO JOIN THE CLUB ON THIS PAGE. PLEASE REGISTER ON DoSportsEasy! Welcome! Jiujitsu is a grappling club focused on Brazilian Jiu Jitsu (BJJ). All UW-Madison students are welcome regardless of experience level. BJJ is a martial art focused on grappling, ground-fighting, and submission holds, and is great for self-defense. We also have a competition team that attends local or regional tournaments each semester. Practices are divided into drilling BJJ techniques and live sparring (aka rolling). New members are never required to participate in live drills. If you're interested in rolling and competing, Saturday practices are geared towards experienced members. Instructions to Join: Search for the University of Wisconsin on Do Sports Easy and login using your NetID. Search for the Jiujitsu Club and navigate to our page, where you can request to join and fill out required waivers. We communicate announcements through Slack. To join, DM our Instagram @jiujitsu_uw for a link, talk to us at practice, or message us on Do Sports Easy to keep up with the club! Fall 2024 Practice Schedule Location: Nicholas Recreation Center Spark Studio (3rd Floor) Tuesday: 8-9:30 PM
Thursday: 10:30-Midnight
Friday: 6:30-8 PM
Saturday (intermediate): 10-11:30 AM Please note that practices on some days are cancelled or scheduled at a different time. Full schedule and announcements are posted in Slack. House Rules","Address
797 West Dayton Street
Spark Room
Madison, WI 53715
United States of America Address 797 West Dayton Street Spark Room Madison, WI 53715 Madison, United States of America Contact Email
E: jiujitsuuw2024@gmail.com Contact Email E: Phone Number
P: (608) 262-8244 Phone Number P:"
Joint Venture Club (Wisconsin School of Business),The Joint Venture Club (JVC) was created to provide a venue for the families of the University of Wisconsin School of Business MBAs and Masters students to network and get involved in the University and in the Madison area as a whole.,"Address
975 University Ave
2400 Grainger Hall
Madison, WI 53706
United States Address 975 University Ave 2400 Grainger Hall Madison, WI 53706 Madison, United States Contact Email
E: pmwilson7@wisc.edu Contact Email E:"
Journal of Undergraduate Science and Technology,,"Address Address Contact Email
E: contact.just.uwmadison@gmail.com Contact Email E:"
Kaleidoscope Graduate Student Conference," The Organizing Committee of the Kaleidoscope Graduate Student Conference at UW-Madison is the organization responsible for the planning and execution of an annual event, a tradition which was begun in 2004 and which has since brought together master’s and doctoral students from this and other universities throughout the United States to present their work in Spanish and Portuguese literatures and languages, as well as in other disciplines in the humanities. The conference has traditionally taken place during the early weeks of March, and consists of a two-day academic gathering that includes multiple panels of presenters and two or more keynote speakers from the UW system as well as other institutions recognized for their contributions to the fields of Spanish and Portuguese literatures and languages.","Address
2559 University Avenue
Madison, WI 53705
United States Address 2559 University Avenue Madison, WI 53705 Madison, United States Contact Email
E: khook2@wisc.edu Contact Email E: Phone Number
P: 720-240-6909 Phone Number P:"
"Kappa Alpha Psi Fraternity, Inc. (Beta Omicron Chapter)","Kappa Alpha Psi was founded on the campus of Indiana University on January 5, 1911. The Fraternity's fundamental purpose is achievement. Early in this century, African-American students were actively dissuaded from attending college. Formidable obstacles were erected to prevent the few who were enrolled from assimilating into co-curricular campus life. This ostracism characterized Indiana University in 1911, thus causing Elder W. Diggs, Byron K. Armstrong, and eight other black students to form Kappa Alpha Psi Fraternity, which remains the only Greek letter organization with its 1st Chapter on the University's campus.

The founders sought a formula that would immediately raise the sights of black collegians and stimulate them to accomplishments higher than they might have imagined. Fashioning achievement as it's purpose, Kappa Alpha Psi began uniting college men of culture, patriotism and honor in a bond of fraternity.","Address
115 E Johnson St
1
Madison, WI 53703
United States Address 115 E Johnson St 1 Madison, WI 53703 Madison, United States Contact Email
E: fiifiscann@gmail.com Contact Email E: Phone Number
P: 6086952856 Phone Number P:"
Kappa Alpha Theta - Psi Chapter,"Kappa Alpha Theta Psi-Chapter was founded at UW-Madison on May 29, 1890, and has been a sorority here ever since. The philanthropy we support is CASA, or Court Appointed Special Advocates, who help foster children have a voice in legal proceedings. We are a not-for-profit dedicated to the betterment of ourselves and community through leadership involvement across campus. With several different opportunities for leadership and involvement within our sorority, so you are able to get involved as a freshman very easily. We at Kappa Alpha Theta want to give you a sense of belonging and make a large campus feel like a small one!","Address
108 Langdon Street
Madison, WI 53703
United States Address 108 Langdon Street Madison, WI 53703 Madison, United States Contact Email
E: psithetapres@gmail.com Contact Email E: Phone Number
P: 952-666-9241 Phone Number P:"
Kappa Delta Chi- Alpha Kappa Chapter,"The purpose of Kappa Delta Chi (KDChi) is to promote the values of Unity, Honesty, Integrity, and Leadership among its members and UW students. Although we are Latinx founded we are not exclusive to Latinxs, we value diversity and welcome womxn from all walks of life. The purpose of our sorority is relevant to the university in that it helps to foster an encouraging environment for student leaders to take roles in making change by becoming helpers to those in need through service, to achieve academic goals, and to form a support system for multicultural womxn. Not only is there emphasis on personal growth, there is also a strong emphasis on giving back to the community. The chapter’s local philanthropies are the Catholic Multicultural Center and the Neighborhood House. Some of the organizational goals include increase service programming, service events open to the UW community, and opportunities for academic and professional growth. As a chapter, KDChi strives to serve the UW Madison community through regular service learning practices aimed to benefit the campus and surrounding areas. Every academic year our sxsters manage to collectively complete hundreds of hours of service in the community, all while balancing their academics and other campus involvement.","Address
333 E. Campus Mall
Cage 16
Madison, WI 53715
USA Address 333 E. Campus Mall Cage 16 Madison, WI 53715 Madison, USA Contact Email
E: alphakappa.president@kappadeltachi.org Contact Email E:"
Kappa Eta Kappa - Delta Chapter,"KHK is a professional, co-educational fraternity for Electrical/Computer Engineering and Computer Science students. Members have many opportunities to study with classmates, develop leadership, planning, and networking skills.","Address
114 N ORCHARD ST
Madison, WI 53715
United States Address 114 N ORCHARD ST Madison, WI 53715 Madison, United States Contact Email
E: kkapur5@wisc.edu Contact Email E:"
Kappa Kappa Gamma - Eta Chapter," Kappa promotes, through its standards, a broad college experience. Scholarship or intellectual development is a huge priority, and the impressive achievements of our members attest to this. In Kappa, scholarship programs provide an atmosphere for academic accomplishment emphasizing that each member attain her personal academic best. Cultural growth is important as well. Kappa Kappa Gamma encourages members to seek opportunities for self-growth in a variety of interests in the chapter, campus, and in the community. Kappa Kappa Gamma also provides leadership opportunities in a mutually supportive environment. Kappa members believe that philanthropy or mutual helpfulness is of significant importance. As a Kappa, we're always looking for opportunities to dream boldly and live fully as we give back and improve the world around us. Kappa Kappa Gamma is dedicated to becoming a powerful advocate for mental health and well-being. Our national philanthropy partners include Active Minds, The Jed Foundation, Mental Health America, National Alliance on Mental Illness, National Eating Disorders Association, and JACK.org. Here at our Eta Chapter our local philanthropy is the American Family Children's Hospital. Throughout the year, we host multiple events and fundraisers to raise money for both our local and national philanthropies. The Eta Chapter of Kappa Kappa Gamma at UW-Madison is more than just an organization, it's a family. Sisterhood is what ties us together and something we value deeply. Joining Kappa Kappa Gamma means finding a sisterhood and making friendships and memories that will last a lifetime. ","Address
601 N Henry St
Madison, WI 53703
United States Address 601 N Henry St Madison, WI 53703 Madison, United States Contact Email
E: behailu@wisc.edu Contact Email E: Phone Number
P: 608-256-6056 Phone Number P:"
"Kappa Psi Pharmaceutical Fraternity, Inc. - Beta Psi Chapter","Kappa Psi Pharmaceutical Fraternity is composed of students currently enrolled in the School of Pharmacy at UW-Madison.  Through strong brotherhood, involvement, leadership development, and networking, we strive to develop a more competent and prepared pharmacy professional.  Community outreach programs and events serve as our venue for accomplishing this task.  Health-related projects that we focus on include: Katy's Kids (a program to teach children about medicines and medicine safety), raising awareness about heart disease and fundraising for the American Heart Association, and raising awareness and fundraising for the Badger Childhood Cancer Network.  Additionally, we give back to the local community through volunteer work with the St. Vincent food pantry, the Riverside food pantry, and the Ronald McDonald House, among others.  We feel that our hard work brings pride to not only the School of Pharmacy and the profession, but also UW-Madison.","Address
414 Chestnut St
Madison, WI 53726
United States Address 414 Chestnut St Madison, WI 53726 Madison, United States Contact Email
E: betapsi@kappapsi.org Contact Email E:"
Kappa Sigma (Beta Epsilon),https://www.kappasigma.org/who-we-are/,"Address
124 Landgon Street
Madison, WI 53703
United States Address 124 Landgon Street Madison, WI 53703 Madison, United States Contact Email
E: kappasigmauwmad@gmail.com Contact Email E: Phone Number
P: 331-702-1408 Phone Number P:"
KASPER Dance Crew,"KASPER Dance Crew is a K-pop and Hip-Hop dance crew established in 2015 that is dedicated to learning and performing dances/choreographies focusing mainly within the Korean pop and hip-hop genre. As a socially aware organization, we recognize that Black/Afro-American culture has created, inspired, and sculpted various music genres such as K-Pop, Hip-Hop, and American pop along with its dance styles. KASPER's mission is to serve others, bring joy, raise awareness, build bridges, and introduce new cultures. We aim to spark interest in diverse cultural experiences by sharing through the art of dance. We strive for a positive, nurturing, creative, challenging, and welcoming environment for all, and through workshops and performances, KASPER aims to develop abilities for dance enthusiasts at any skill-level on campus.  Once a KASPER, Always a KASPER.","Address Address Contact Email
E: kasper.dancecrew@gmail.com Contact Email E: Phone Number
P: 608-354-9624 Phone Number P:"
Kendo Club - UW-Madison,"Kendo (剣道) is a martial art utilizing swords made of bamboo and wood. Developed in Japan, it is now practiced throughout the world. The primary purpose of Kendo is not self-defense, but the development of discipline and self-control. In this club, you will gain friendships, exercise regularly, and gain new abilities you might have never thought about before. Important: The WIN page is no longer the system for roaster management. If you wish to join the club, go to DoSportsEasy, choose Kendo Club and log in with your NetID. Select registration, fill out and complete forms.  2024-25 Academic year practice times & location: Starting 9/6, every Tu 7-9p / Fri 6:30-8:30p / Sun 1-3p in the Tempo Room (4th Floor) of the Bakke Recreational Center (WIN is not our main source of information, so check our Instagram for the latest updates and practice times)","Address
1050 University Ave.
Madison, WI 53706
USA Address 1050 University Ave. Madison, WI 53706 Madison, USA Contact Email
E: gchang23@wisc.edu Contact Email E: Phone Number
P: 608-238-1520 Phone Number P:"
Kesem at University of Wisconsin-Madison,"Since 2010, Kesem UW-Madison has been dedicated to providing a supportive, fun and meaningful summer camp experience and year-round programming for children between the ages of 6 and 18 who have been impacted by a parent's cancer. This group of children is specifically chosen because it is difficult for them to find peers with whom they can relate. Kesem provides an opportunity for children to meet and connect with others who know exactly what they are going through. We host three week-long, overnight camps throughout the summer and reunions during the year to give these kids the opportunity to relax, have fun, and just be kids! Check out our most recent camp video HERE!","Address
333 East Campus Mall
Mailbox #104
Madison, WI 53715
USA Address 333 East Campus Mall Mailbox #104 Madison, WI 53715 Madison, USA Contact Email
E: ckuwmadison@kesem.org Contact Email E: Phone Number
P: 608-370-0060 Phone Number P:"
Kick it to Cancer (UW-Madison),"Kick It to Cancer (UW-Madison) is a student ran organization created primarily to raise awareness and support for local cancer patients by raising money for the UW-Carbone Cancer Center here in Madison. Throughout the year, fundraisers and other awareness events are in constant preparation and taking place so that members can participate in various volunteer and fundraising activities around campus.","Address
Madison, WI 53715
USA Address Madison, WI 53715 Madison, USA Contact Email
E: uwkitc@gmail.com Contact Email E:"
Knit For a Cause,"This knitting and crocheting club meets weekly to build relationships while making items to donate to local charities. You don't need to know how to knit or crochet to join, one of our members can teach you! Meetings at the Lutheran Campus Center 2nd floor on Wednesdays from 6:30 to 8:00. Walk-ins welcome!  ","Address
303 Princeton Ave
MADISON, WI 53726
United States Address 303 Princeton Ave MADISON, WI 53726 MADISON, United States Contact Email
E: eveum@wisc.edu Contact Email E: Phone Number
P: 715-254-5176 Phone Number P:"
Korean Business Student Association,The Korean Business Student Association (KBSA) traces its beginning to the passion and dedication of a group of Korean students committed to expanding their understanding of business beyond the curriculum of classes. KBSA was designed to be a forum for exceptional and motivated business students interested in a career in the business field. The organization aims to provide supplementary education about the business environment and help facilitate a successful transition into the professional world. ,"Address
432 W Gorham Street
Madison, WI 53706
USA Address 432 W Gorham Street Madison, WI 53706 Madison, USA Contact Email
E: kbsamadison@gmail.com Contact Email E: Phone Number
P: 608-867-9683 Phone Number P:"
Korean Christian Campus Worship Ministry (Wispel),"We are a group of students and young adults who wish to worship and praise Jesus. We meet once every month to have a worship service. Anyone regardless of their denomination and church membership, who is looking for opportunity to praise the Lord is welcome to join. (Non- students may not join depending on current compositions of the organization, due to 75% student membership rules) The worships will primarily be held in Korean Language, but English translations will be available upon requests.","Address
6906 Colony Drive
Madison, WI 53717
U.S.A. Address 6906 Colony Drive Madison, WI 53717 Madison, U.S.A. Contact Email
E: wkim244@wisc.edu Contact Email E: Phone Number
P: 7473423427 Phone Number P:"
Korean Undergraduate Computer Science Union,"The Korean Undergraduate Computer Science Union (KCU) is an undergraduate student organization at UW-Madison, dedicated to supporting the academic and professional development of students, primarily in computer science and data science. Our mission is to create a collaborative environment where students can grow their technical skills, explore new ideas, and build lasting connections with peers and industry professionals. We hold monthly meetings that focus on enhancing professional development through skill-building workshops, networking opportunities, and collaborative group projects. Additionally, we provide hands-on experiences with technologies such as AI, web development, and data analysis. Through seminars, workshops, and competitive events, we strive to build a community where students can thrive academically and professionally, regardless of their major. We aim to foster a supportive space where students can share resources, explore innovative projects, and prepare for exciting opportunities such as internships, research ventures, and more.","Address
1210 W Dayton St
Madison, WI 53706
United States Address 1210 W Dayton St Madison, WI 53706 Madison, United States Contact Email
E: kcumadison76@gmail.com Contact Email E: Phone Number
P: 256-642-6248 Phone Number P:"
Korean Undergraduate Students Association,"KUSA is an umbrella organization for Korean undergraduate students on UW-Madison campus. KUSA functions as a ""hub"" which connects and supports other student organizations that are run by Korean students. We organize various social events throughout the year including picnic, parties, Mini-Olympics, and Korean Night. We are also one of founding members of GLA (Global Leaders Association). GLA is a connection group of Korean student orgs from CMU, USC, Duke, UCLA, Emory, Geogia Tech, U of Illinois-Urbana Champagin, U of Michigan - Ann Arbor, Rochester, SUNY-Baffalo, Boston U, and UW-Madison.   The following is the list of founding purposes of the organization: 1. Providing scholastic opportunities to enhance members' academic performance 2. Promoting awareness of Korean culture in UW-Madison community 3. Sponsorships to subordinate groups within the organization 4. Creating closer relation between each member of the organization","Address
614 LANGDON ST APT 504
Madison, WI 53703-1151
United States Address 614 LANGDON ST APT 504 Madison, WI 53703-1151 Madison, United States Contact Email
E: kusa.uwmadison@gmail.com Contact Email E: Phone Number
P: 6083454892 Phone Number P:"
Korean-American Scientists and Engineers Association Wisconsin YG Chapter,"Korean-American Scientists and Engineers Association (KSEA) Wisconsin YG Chapter is part of a larger national KSEA organization. KSEA WI YG chapter mainly consists of Korean-American students who are majoring in science or engineering. Together with the Wisconsin Local Chapter, we explore science topics in-depth through discussions and presentations. Also, throughout the year, we participate in national conferences, which gathers brilliant undergraduates to present their research on topics of their interest. In addition, we help KSEA Headquarter to perform National Math and Science Competition (NMSC) to select gifted young students in Wisconsin to participate in national competitions.","Address
305 N Frances St
Madison, WI 53703
United States Address 305 N Frances St Madison, WI 53703 Madison, United States Contact Email
E: yjhung@wisc.edu Contact Email E: Phone Number
P: 6089603855 Phone Number P:"
Korean-American Student Association,"We exist for all students to assist, guide, and encourage students in striving to create an inclusive community for all of those who identify with or are interested in learning more about Korean-American culture. As Korean American Student Association, we fully experience two distinct yet encompassing cultures; therefore, KASA strives to help students in this community to find balance in their identity and to learn more about this duality. We promote a better understanding of Korean-American culture, heritage, and tradition and work to actively spread awareness of these cultural traditions on campus. We attempt to create an atmosphere for members to accept and express themselves through traditional and modern Korean culture, and work to educate our members and the wider UW-Madison community on Korea as a nation, from history to its contemporary impact on the world.","Address Address Contact Email
E: kasamadison@gmail.com Contact Email E:"
La Alianza,"The purpose of La Alianza is to provide an atmosphere of cooperativeness, innovativeness, creativeness, and friendliness among its members; to participate in public service designed to assist other Latinos and the community at large; to increase the number of Latinos at the University of Wisconsin Law School; to encourage the participation of Latino alumni to develop and remain responsive to the social, political, and academic needs of the Latino community; to participate in the law school admissions process; to assist members in academic development to ensure successful completion of legal studies; to rebut any racial or ethnic stereotype images of the Latino culture both within and outside the organization, and to advocate for the rights of the Latino community. Furthermore, with other LEO organizations, LLSA promotes unity amongst the entire UW Law School community, regardless of cultural background.","Address
975 Bascom Mall
MADISON, WI 53706
United States Address 975 Bascom Mall MADISON, WI 53706 MADISON, United States Contact Email
E: laalianzauwlaw@gmail.com Contact Email E:"
Labor and Employment Student Association,,"Address
975 Bascom Mall
Madison, WI 53706
United States Address 975 Bascom Mall Madison, WI 53706 Madison, United States Contact Email
E: ipetrova@wisc.edu Contact Email E: Phone Number
P: 9737678618 Phone Number P:"
